PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top.Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,HitType,TaggedHitType,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,Zone,run_val,HandDif,loc_count_run_val,loc_count_adj_run_val,SmartRunVal,Umpire,factor,tilt
1,3/9/2021,02:49.6,1,1,"Foster, Larry",1000078676,Left,Great North Coyotes,"Neto, Clifford",1000050168,Right,Down South Gators,Undefined,1,Top,0,0,0,Fastball,Sinker,ball,Undefined,Undefined,0,0,NA,88.12232,-3.789537,2.577065,1934.2909,125.19351,10:15,5.54415,-2.59815,5.39907,-23.22391,14.02946,-17.98147,0.04899,-1.6801,79.91637,-8.098576,-0.621819,0.439293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.92123,8.63823,2.38167,50,5.18971,-4.95007,-127.42581,-9.24249,16.11113,29.20037,-18.14637,GNC,DSG,TheDen,Pro,TheLeague,20210309-TheDen-1,cec56d70-811a-11eb-9936-256eafa01ed6,85.80254,NA,NA,8.20595,NA,NA,NA,NA,NA,NA,0f29f20f-1356-4687-8344-aaa04142ce0f,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0.07,0,0.07,0.061470436,0.008529564,Test Umpire,18.67990157,10.33
2,3/9/2021,03:12.1,1,2,"Foster, Larry",1000078676,Left,Great North Coyotes,"Neto, Clifford",1000050168,Right,Down South Gators,Undefined,1,Top,0,1,0,Fastball,Four-Seam,strike,Undefined,Undefined,0,0,NA,91.50568,-1.413327,2.294155,2164.343529,139.529035,10:45,5.66464,-2.42432,5.87933,-18.65977,14.88981,-11.75209,2.79581,-1.27197,83.2459,-4.943021,0.186671,0.416884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.63784,8.34969,2.24557,50,5.53965,-4.79663,-132.74305,-3.86316,11.79286,29.55542,-17.33992,GNC,DSG,TheDen,Pro,TheLeague,20210309-DurhamAthleticPark-1,dc300740-811a-11eb-9936-256eafa01ed6,90.41475,NA,NA,8.25978,NA,NA,NA,NA,NA,NA,0f29f20f-1356-4687-8344-aaa04142ce0f,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,-0.06,0,0.002742368,-0.005787196,-0.054212804,Test Umpire,19.81313747,10.66
3,3/9/2021,03:30.0,1,3,"Foster, Larry",1000078676,Left,Great North Coyotes,"Neto, Clifford",1000050168,Right,Down South Gators,Undefined,1,Top,0,1,1,Sinker,Slider,ball,Undefined,Undefined,0,0,NA,79.84393,-0.735882,2.055603,2411.724771,297.103093,4:00,5.55803,-2.46593,5.01859,-49.40034,-4.05398,10.64505,0.74639,0.36188,73.7173,-9.612542,3.937788,0.484666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.73918,-1.44571,2.25991,50,5.44732,-4.59337,-115.83452,-3.29121,-6.42749,21.99834,-34.1348,GNC,DSG,TheDen,Pro,TheLeague,20210309-DurhamAthleticPark-1,e6f598c0-811a-11eb-9936-256eafa01ed6,77.76991,NA,NA,6.12663,NA,NA,NA,NA,NA,NA,0f29f20f-1356-4687-8344-aaa04142ce0f,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0.07,0,0.03013508,0.021605516,0.048394484,Test Umpire,12.64093211,4
4,3/9/2021,03:48.2,1,4,"Foster, Larry",1000078676,Left,Great North Coyotes,"Neto, Clifford",1000050168,Right,Down South Gators,Undefined,1,Top,0,2,1,Fastball,Sinker,Out,Undefined,Out,1,0,NA,92.19928,-1.14617,3.635202,2162.152575,132.971326,10:30,5.65473,-2.39822,5.3511,-20.13548,13.59245,-13.39642,2.89946,-0.10053,83.92271,-4.902056,1.26077,0.41799,103.74259,21.957987,2.786432,2052.639402,109.6929,41.71773,8.20928,378.82751,NA,8.977852,4.251124,7.81902,7.48374,2.08091,50,5.53736,-7.87195,-133.56005,-3.39812,14.08333,29.53082,-18.69456,GNC,DSG,TheDen,Pro,TheLeague,20210309-DurhamAthleticPark-1,f1b1b460-811a-11eb-9936-256eafa01ed6,90.1754,59.47281,NA,8.27657,NA,NA,NA,1.41773,2.54235,0.12902,0f29f20f-1356-4687-8344-aaa04142ce0f,FlyBall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-0.26,0,-0.011762197,-0.020291761,-0.239708239,Test Umpire,19.8008804,10.33
5,3/9/2021,04:24.5,2,1,"Foster, Larry",1000078676,Left,Great North Coyotes,"Arlington, Zeek",1000072986,Right,Down South Gators,Undefined,1,Top,1,0,0,Fastball,Four-Seam,strike,Undefined,Undefined,0,0,NA,92.0914,-1.607979,2.875007,2219.446744,150.218349,11:00,5.50543,-2.57943,5.69113,-15.16485,18.35595,-9.84056,2.74082,-0.7178,83.39596,-4.510628,1.118428,0.416705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.84197,10.13186,2.34381,50,5.36083,-6.25278,-133.428,-4.19921,10.4475,30.84771,-14.05467,GNC,DSG,TheDen,Pro,TheLeague,20210309-DurhamAthleticPark-1,075652d0-811b-11eb-9936-256eafa01ed6,90.45359,NA,NA,8.69543,NA,NA,NA,NA,NA,NA,0f29f20f-1356-4687-8344-aaa04142ce0f,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,-0.06,0,-0.015483887,-0.024013451,-0.035986549,Test Umpire,20.86713622,11
6,3/9/2021,04:41.2,2,2,"Foster, Larry",1000078676,Left,Great North Coyotes,"Arlington, Zeek",1000072986,Right,Down South Gators,Undefined,1,Top,1,0,1,ChangeUp,Changeup,ball,Undefined,Undefined,0,0,NA,86.44108,-2.162637,4.959781,1920.628186,112.449223,9:45,5.4667,-2.6258,5.33174,-30.0845,8.62024,-17.6217,0.92198,0.57085,78.65674,-7.688044,1.841621,0.447769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.32465,5.35,2.19009,50,5.24914,-10.06865,-124.88978,-5.81281,16.20375,26.63719,-23.77761,GNC,DSG,TheDen,Pro,TheLeague,20210309-DurhamAthleticPark-1,11495210-811b-11eb-9936-256eafa01ed6,84.1784,NA,NA,7.78435,NA,NA,NA,NA,NA,NA,0f29f20f-1356-4687-8344-aaa04142ce0f,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0.07,0,0.017612674,0.00908311,0.06091689,Test Umpire,17.38472293,9.66
7,3/9/2021,05:04.3,2,3,"Foster, Larry",1000078676,Left,Great North Coyotes,"Arlington, Zeek",1000072986,Right,Down South Gators,Undefined,1,Top,1,1,1,Fastball,Four-Seam,foul,Undefined,Undefined,0,0,NA,91.51572,-1.482723,4.547296,2215.160645,136.569248,10:30,5.45094,-2.54941,5.61446,-18.90214,15.16339,-13.25682,2.48725,0.59882,83.06287,-5.042301,2.19074,0.420077,74.72952,43.223036,59.943799,5274.852801,NA,NA,NA,NA,NA,NA,NA,8.05697,8.45701,2.16921,50,5.312,-9.93494,-132.40067,-4.06092,14.22636,29.66433,-17.24132,GNC,DSG,TheDen,Pro,TheLeague,20210309-DurhamAthleticPark-1,1f1063c0-811b-11eb-9936-256eafa01ed6,89.72746,66.98854,NA,8.45285,NA,NA,NA,0.93334,2.36905,-0.66529,0f29f20f-1356-4687-8344-aaa04142ce0f,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-0.06,0,-0.021046927,-0.029576491,-0.030423509,Test Umpire,20.12214427,10.66
9,3/9/2021,05:59.6,3,1,"Foster, Larry",1000078676,Left,Great North Coyotes,"Flagger, Tim",1000037742,Left,Down South Gators,Undefined,1,Top,2,0,0,Slider,Slider,ball,Undefined,Undefined,0,0,NA,82.46267,-1.022701,3.487234,2288.982675,299.459161,4:00,5.53584,-2.41866,5.19866,-47.49408,-5.53634,11.8415,0.6142,1.85216,76.87367,-9.535221,5.582131,0.466206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.05441,-2.18236,2.08593,50,5.40463,-7.77857,-119.63855,-3.8979,-7.37992,21.48312,-35.36049,GNC,DSG,TheDen,Pro,TheLeague,20210309-DurhamAthleticPark-1,4018a870-811b-11eb-9936-256eafa01ed6,80.8494,NA,NA,5.589,NA,NA,NA,NA,NA,NA,0f29f20f-1356-4687-8344-aaa04142ce0f,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0.07,1,0.07,0.061470436,0.008529564,Test Umpire,11.9882627,4
10,3/9/2021,06:19.5,3,2,"Foster, Larry",1000078676,Left,Great North Coyotes,"Flagger, Tim",1000037742,Left,Down South Gators,Undefined,1,Top,2,1,0,Fastball,Four-Seam,foul,Undefined,Undefined,0,0,NA,91.55886,-0.765257,3.495568,2192.353297,140.528474,10:45,5.552,-2.4217,5.51645,-17.29359,16.63639,-12.79158,3.39397,-0.21519,83.37238,-4.030248,1.221571,0.41924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.44402,8.9406,2.12579,50,5.47394,-7.5246,-132.69567,-2.34063,13.25706,28.70802,-16.25177,GNC,DSG,TheDen,Pro,TheLeague,20210309-DurhamAthleticPark-1,4be1ee50-811b-11eb-9936-256eafa01ed6,89.90649,NA,NA,8.18648,NA,NA,NA,NA,NA,NA,0f29f20f-1356-4687-8344-aaa04142ce0f,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.06,1,-0.009119249,-0.017648813,-0.042351187,Test Umpire,19.52695353,10.66
11,3/9/2021,06:43.5,3,3,"Foster, Larry",1000078676,Left,Great North Coyotes,"Flagger, Tim",1000037742,Left,Down South Gators,Undefined,1,Top,2,1,1,Slider,Curveball,Out,Undefined,Out,1,0,NA,80.50259,0.929255,3.231885,2132.209868,321.214282,4:45,5.59566,-2.71424,5.85109,-50.19424,-7.41733,6.88138,2.2777,0.8654,74.95516,-8.213958,4.463864,0.470735,70.29997,44.72732,-28.473185,5916.183857,89.48793,71.91279,-63.96772,202.25902,NA,-39.257033,4.311487,-2.75693,-3.7841,2.44719,50,5.64118,-6.85739,-116.98772,0.25551,-3.85966,19.96268,-37.47176,GNC,DSG,TheDen,Pro,TheLeague,20210309-DurhamAthleticPark-1,5a35fdc0-811b-11eb-9936-256eafa01ed6,80.07153,71.99053,NA,5.54743,NA,NA,NA,1.64992,1.80593,-0.77391,0f29f20f-1356-4687-8344-aaa04142ce0f,FlyBall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,-0.26,1,-0.017604347,-0.026133911,-0.233866089,Test Umpire,11.78461342,4.66
12,3/9/2021,10:16.7,1,1,"Grimes, Barry",1000050166,Right,Down South Gators,"Munson, Erick",1000049080,Right,Great North Coyotes,Undefined,1,Bottom,0,0,0,Fastball,Sinker,Out,Undefined,Out,1,0,NA,93.18959,-2.335223,-3.033089,2097.819845,230.295772,1:45,5.98784,2.19232,5.27658,-18.23095,14.45859,16.26162,2.27104,0.6961,85.97077,-5.713733,-0.15104,0.411506,77.44839,-1.890971,12.099367,2576.768465,NA,NA,NA,33.26696,NA,11.988339,0.292416,-8.97201,8.12878,-1.92796,50,5.76116,6.41409,-135.17998,-6.18765,-16.77763,26.54358,-16.97321,GNC,DSG,TheDen,Pro,TheLeague,20210309-DurhamAthleticPark-1,d9494590-811b-11eb-9936-256eafa01ed6,91.59637,2.4286,NA,7.21882,NA,NA,NA,1.36753,2.4286,-0.68553,0f29f20f-1356-4687-8344-aaa04142ce0f,GroundBall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-0.26,1,-0.024281563,-0.032811127,-0.227188873,Test Umpire,17.54244167,1.66
13,3/9/2021,10:55.3,2,1,"Grimes, Barry",1000050166,Right,Down South Gators,"Longo, James",1000018300,Left,Great North Coyotes,Undefined,1,Bottom,1,0,0,Fastball,Four-Seam,strike,Undefined,Undefined,0,0,NA,92.99682,-2.944458,-3.063512,2147.188364,217.426405,1:15,5.95646,2.43003,5.32273,-16.48017,16.28796,11.73666,1.81365,0.53055,85.91431,-6.010018,-0.982449,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.63678,9.18481,-2.16145,50,5.67782,6.66893,-134.82196,-7.52245,-12.36724,25.90493,-15.0587,GNC,DSG,TheDen,Pro,TheLeague,20210309-DurhamAthleticPark-1,f047ceb0-811b-11eb-9936-256eafa01ed6,91.48649,NA,NA,7.08251,NA,NA,NA,NA,NA,NA,0f29f20f-1356-4687-8344-aaa04142ce0f,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,-0.06,0,-0.018683498,-0.027213062,-0.032786938,Test Umpire,17.19055825,1.33
14,3/9/2021,11:18.4,2,2,"Grimes, Barry",1000050166,Right,Down South Gators,"Longo, James",1000018300,Left,Great North Coyotes,Undefined,1,Bottom,1,0,1,ChangeUp,Changeup,whiff,Undefined,Undefined,0,0,NA,84.91246,-3.456127,-3.941795,1932.126014,248.636399,2:15,5.87617,2.5019,5.30437,-32.03458,7.53619,16.23276,-0.04935,0.14854,78.65747,-9.267096,-1.062001,0.45275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.22252,5.0002,-2.15601,50,5.53787,7.7937,-122.91525,-8.58921,-14.22453,22.49781,-24.46193,GNC,DSG,TheDen,Pro,TheLeague,20210309-DurhamAthleticPark-1,fe06f120-811b-11eb-9936-256eafa01ed6,83.2522,NA,NA,6.25499,NA,NA,NA,NA,NA,NA,0f29f20f-1356-4687-8344-aaa04142ce0f,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,-0.06,0,0.056565207,0.048035643,-0.108035643,Test Umpire,13.81554942,2.33
15,3/9/2021,11:40.6,2,3,"Grimes, Barry",1000050166,Right,Down South Gators,"Longo, James",1000018300,Left,Great North Coyotes,Undefined,1,Bottom,1,0,2,ChangeUp,Changeup,Double,Undefined,Double,0,0,NA,85.20767,-2.142072,-3.709197,2155.895892,236.270766,2:00,5.92571,2.59944,5.3592,-26.38155,12.89497,17.46446,1.71334,0.57159,78.26729,-7.003892,-0.610606,0.451064,94.06951,28.222047,-19.529819,3803.285454,100.55297,52.15594,-44.59909,343.29699,NA,-31.876129,4.500505,-9.83886,7.41788,-2.27901,50,5.71419,7.27095,-123.45607,-5.53263,-15.24031,23.73728,-20.68384,GNC,DSG,TheDen,Pro,TheLeague,20210309-DurhamAthleticPark-1,0b4af020-811c-11eb-9936-256eafa01ed6,83.56347,68.49978,NA,6.94038,NA,NA,NA,1.67996,1.66869,-0.55288,0f29f20f-1356-4687-8344-aaa04142ce0f,FlyBall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.74,0,-0.020210493,-0.028740057,0.768740057,Test Umpire,15.3866857,2
16,3/9/2021,12:31.8,3,1,"Sentz, Carson",1000050166,Right,Down South Gators,"Rosenblat, Matt",1000010302,Left,Great North Coyotes,Undefined,1,Bottom,1,0,0,Slider,Slider,whiff,Undefined,Undefined,0,0,NA,80.53055,0.391022,-1.280156,2717.355805,71.387236,8:30,5.93857,2.37934,5.05629,-50.23381,-5.51902,-20.64477,2.12128,-0.54851,73.84876,-8.671373,-4.931296,0.481279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.85296,-2.4098,-2.24052,50,5.93585,3.48293,-116.83872,-1.06518,13.51441,23.60834,-35.47936,GNC,DSG,TheDen,Pro,TheLeague,20210309-DurhamAthleticPark-1,29cd2630-811c-11eb-9936-256eafa01ed6,78.31723,NA,NA,6.68179,NA,NA,NA,NA,NA,NA,0f29f20f-1356-4687-8344-aaa04142ce0f,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,-0.06,0,-0.025950957,-0.034480521,-0.025519479,Test Umpire,13.88340235,8.33
17,3/9/2021,12:57.0,3,2,"Sentz, Carson",1000050166,Right,Down South Gators,"Rosenblat, Matt",1000010302,Left,Great North Coyotes,Undefined,1,Bottom,1,0,1,Fastball,Sinker,foul,Undefined,Undefined,0,0,NA,90.84984,-1.545935,-4.143408,2177.881065,234.556976,1:45,5.92058,2.04533,5.37942,-19.66186,14.86402,19.35824,2.82876,-0.23234,83.17249,-5.212254,-0.712221,0.422906,67.16181,48.634024,-142.76516,4151.656088,-93.82642,55.68783,-57.41544,178.88544,NA,-151.180613,3.382186,-10.89882,8.2141,-1.68846,50,5.76826,8.66567,-131.61996,-4.24726,-19.19311,26.92046,-17.7088,GNC,DSG,TheDen,Pro,TheLeague,20210309-DurhamAthleticPark-1,38cf4ff0-811c-11eb-9936-256eafa01ed6,89.12722,57.44585,NA,7.67735,NA,NA,NA,1.30283,3.13843,0.14794,0f29f20f-1356-4687-8344-aaa04142ce0f,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-0.06,0,-0.018275159,-0.026804723,-0.033195277,Test Umpire,18.15379777,1.66
18,3/9/2021,13:24.0,3,3,"Sentz, Carson",1000050166,Right,Down South Gators,"Rosenblat, Matt",1000010302,Left,Great North Coyotes,Undefined,1,Bottom,1,0,2,Slider,Slider,foul,Undefined,Undefined,0,0,NA,80.27484,0.749067,-1.240025,2723.74014,82.889765,8:45,5.84146,2.27557,5.07416,-45.94479,-0.83532,-18.7591,2.71911,-0.45689,73.19742,-7.589129,-4.556257,0.483398,93.54444,15.118298,39.646271,2846.025825,80.16579,19.29172,75.32184,217.66166,NA,48.70483,2.074762,9.00524,-0.26244,-2.14224,50,5.87608,3.29469,-116.40778,-0.13267,12.22361,24.04748,-32.53026,GNC,DSG,TheDen,Pro,TheLeague,20210309-DurhamAthleticPark-1,48e5f6f0-811c-11eb-9936-256eafa01ed6,77.97385,19.30749,NA,7.07742,NA,NA,NA,2.7182,3.05569,0.36387,0f29f20f-1356-4687-8344-aaa04142ce0f,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-0.06,0,-0.023134933,-0.031664497,-0.028335503,Test Umpire,14.64097907,8.66
